Alsum18-2023,43.21723,-90.16774,21,22,23,24,25,26.0,27.0,,,,
Alsum59-2023,43.209921,-90.207351,45,46,47,48,49,50.0,51.0,,,,
Arlington-2023,43.30438055,-89.33189999,58,59,60,61,62,63.0,64.0,,,,
C5-2023,44.0455222,-89.6233111,77,78,79,80,81,82.0,83.0,,,,
C44-L15-2023,44.00073889,-89.59624167,109,110,111,112,113,114.0,115.0,,,,
Aartz-2023,44.026376,-89.598095,133,134,135,136,137,,,,,,
XMASBig-2023,44.18041731,-89.62019839,145,146,147,148,149,,,,,,
GarrisonNE-2023,44.36995,-89.612148,167,168,169,170,171,172.0,173.0,,,,
H10-2023,44.122947,-89.652968,185,186,187,188,189,190.0,191.0,,,,
H15-2023,44.13749444,-89.62359167,206,207,208,209,210,211.0,212.0,,,,
H41-2023,44.15935556,-89.53771944,219,220,221,222,223,224.0,225.0,,,,
H66-2023,44.08271,-89.55361,250,251,252,253,254,255.0,256.0,257.0,258.0,259.0,260.0
Du-2023,43.90818,-89.67714,288,289,290,291,292,293.0,294.0,,,,
OkrayGrosheks40-2023,44.437271,-89.570611,312,313,314,315,316,317.0,318.0,,,,
LaszSE-O14-2023,44.41390278,-89.62209167,328,329,330,331,332,,,,,,
BrikalskiPats-2023,44.55635278,-89.50217222,370,371,372,373,374,375.0,376.0,,,,
DaveBrilowski-2023,44.53635,-89.491872,386,387,388,389,390,391.0,392.0,,,,
Wysocki1129-2023,44.272736,-89.711443,418,419,420,421,422,423.0,424.0,,,,
Wedekind_3-2023,44.27351,-89.55668,442,443,444,445,446,447.0,448.0,,,,
Airport04-2023,44.33763,-89.5087,474,475,476,477,478,479.0,480.0,,,,
